global	targets	interference	deformation	deformation_sum	diff_global	diff_targets	diff_interference	diff_deformation
0.7274101303454148	0.6418216515007967	2.6178104351312474	0.019070132427081568	1.1442079456248941	M	H	E	M
0.7646463067899032	0.6951150862975062	5.527568590293356	0.032147688023555956	1.9288612814133572	H	H	M	H
0.6967326036190155	0.6665541226945435	5.266518404958844	0.012190040943030882	0.7314024565818529	M	H	M	M
0.7454194844341478	0.63808147732766	6.44386793867014	0.021606075058575657	1.2963645035145395	H	H	M	M
0.7399565734101045	0.6755163937461934	5.25097077718851	0.01646410688035663	0.9878464128213978	M	H	M	M
